series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,5.27568e-05,1.44983e-05,0.00683857,1.02518e-05
0,Constant-b (Production) Uncorr,phi,5,0.000102991,1.63955e-05,0.00716809,1.15934e-05
0,Constant-b (Production) Uncorr,phi,7,0.000217868,1.87673e-05,0.00663727,1.32705e-05
0,Constant-b (Production) Uncorr,phi,9,0.000229884,1.8158e-05,0.00577223,1.28397e-05
0,Constant-b (Production) Uncorr,phi,11,0.000254754,1.64223e-05,0.00511127,1.16123e-05
0,Constant-b (Production) Uncorr,phi,13.5,0.000278241,1.19277e-05,0.00470805,8.43417e-06
0,Constant-b (Production) Uncorr,phi,17.5,0.000194285,7.93595e-06,0.00434021,5.61156e-06
0,Constant-b (Production) Uncorr,phi,25,-6.33864e-05,4.54777e-06,0.00385941,3.21576e-06
1,Constant-b (Production) Corr,phi,3,1.38505e-05,1.46367e-05,0.00690387,1.03497e-05
1,Constant-b (Production) Corr,phi,5,0.000215186,1.6651e-05,0.00727979,1.17741e-05
1,Constant-b (Production) Corr,phi,7,0.000397183,1.82536e-05,0.0064556,1.29073e-05
1,Constant-b (Production) Corr,phi,9,0.000322697,1.70148e-05,0.0054088,1.20313e-05
1,Constant-b (Production) Corr,phi,11,0.000278518,1.53796e-05,0.00478674,1.0875e-05
1,Constant-b (Production) Corr,phi,13.5,0.000232041,1.13098e-05,0.00446415,7.99725e-06
1,Constant-b (Production) Corr,phi,17.5,0.00012893,7.48728e-06,0.00409483,5.29431e-06
1,Constant-b (Production) Corr,phi,25,-0.000137606,4.10372e-06,0.00348257,2.90177e-06
2,Variable-b (Benchmark) Uncorr,phi,3,2.99911e-05,1.45449e-05,0.00686055,1.02848e-05
2,Variable-b (Benchmark) Uncorr,phi,5,0.000110949,1.63611e-05,0.00715302,1.1569e-05
2,Variable-b (Benchmark) Uncorr,phi,7,0.000244459,1.86239e-05,0.00658653,1.31691e-05
2,Variable-b (Benchmark) Uncorr,phi,9,0.000273436,1.78746e-05,0.00568213,1.26392e-05
2,Variable-b (Benchmark) Uncorr,phi,11,0.000260669,1.60295e-05,0.00498901,1.13346e-05
2,Variable-b (Benchmark) Uncorr,phi,13.5,0.000229326,1.14883e-05,0.00453461,8.12346e-06
2,Variable-b (Benchmark) Uncorr,phi,17.5,0.000138415,7.58369e-06,0.00414756,5.36248e-06
2,Variable-b (Benchmark) Uncorr,phi,25,-8.35479e-05,4.36569e-06,0.00370489,3.08701e-06
3,Variable-b (Benchmark) Corr,phi,3,2.26242e-05,1.46442e-05,0.00690741,1.0355e-05
3,Variable-b (Benchmark) Corr,phi,5,0.000194269,1.66134e-05,0.00726334,1.17474e-05
3,Variable-b (Benchmark) Corr,phi,7,0.000392202,1.81367e-05,0.00641424,1.28246e-05
3,Variable-b (Benchmark) Corr,phi,9,0.000307072,1.67385e-05,0.00532096,1.18359e-05
3,Variable-b (Benchmark) Corr,phi,11,0.000223217,1.4934e-05,0.00464805,1.05599e-05
3,Variable-b (Benchmark) Corr,phi,13.5,0.000164499,1.08408e-05,0.00427904,7.66562e-06
3,Variable-b (Benchmark) Corr,phi,17.5,8.77033e-05,7.12763e-06,0.00389814,5.03999e-06
3,Variable-b (Benchmark) Corr,phi,25,-0.000144185,3.89744e-06,0.00330751,2.75591e-06
