series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch (corr),eta,3,1.02634e-05,1.70229e-05,0.00395495,1.2037e-05
0,from scratch (corr),eta,5,1.29795e-05,1.50667e-05,0.00356456,1.06537e-05
0,from scratch (corr),eta,7,-9.21697e-07,1.37154e-05,0.00336559,9.69827e-06
0,from scratch (corr),eta,9,-2.31289e-05,1.31094e-05,0.00327501,9.26973e-06
0,from scratch (corr),eta,11,-2.00683e-05,1.27329e-05,0.00318732,9.0035e-06
0,from scratch (corr),eta,13.5,2.86143e-06,1.02969e-05,0.00314537,7.28102e-06
0,from scratch (corr),eta,17.5,6.28249e-06,7.81347e-06,0.0030765,5.52496e-06
0,from scratch (corr),eta,25,2.95621e-07,5.16959e-06,0.00289174,3.65546e-06
1,clusterizer (corr),eta,3,-1.05969e-05,1.83008e-05,0.00425186,1.29406e-05
1,clusterizer (corr),eta,5,4.73443e-07,1.60853e-05,0.00380556,1.1374e-05
1,clusterizer (corr),eta,7,-2.23117e-05,1.4599e-05,0.0035824,1.0323e-05
1,clusterizer (corr),eta,9,-3.80141e-05,1.39985e-05,0.00349713,9.89843e-06
1,clusterizer (corr),eta,11,-2.16642e-05,1.36068e-05,0.00340608,9.62146e-06
1,clusterizer (corr),eta,13.5,-2.03194e-05,1.10139e-05,0.00336438,7.788e-06
1,clusterizer (corr),eta,17.5,-1.01204e-05,8.3873e-06,0.00330245,5.93072e-06
1,clusterizer (corr),eta,25,-2.35106e-05,5.56644e-06,0.00311373,3.93607e-06
